algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,10324,7
MergeSort,random,10000,2,127319,11
MergeSort,random,100000,10,1638506,14
MergeSort,random,1000000,116,20226074,17
MergeSort,sorted,1000,0,3956,7
MergeSort,sorted,10000,0,59248,11
MergeSort,sorted,100000,1,744016,14
MergeSort,sorted,1000000,13,8952320,17
MergeSort,duplicates,1000,0,9917,7
MergeSort,duplicates,10000,0,121635,11
MergeSort,duplicates,100000,4,1562053,14
MergeSort,duplicates,1000000,37,19212632,17
QuickSort,random,1000,0,16629,7
QuickSort,random,10000,2,244144,10
QuickSort,random,100000,8,3255066,11
QuickSort,random,1000000,106,38887489,14
QuickSort,sorted,1000,0,18288,7
QuickSort,sorted,10000,0,239060,9
QuickSort,sorted,100000,5,3211504,12
QuickSort,sorted,1000000,53,38976036,14
QuickSort,duplicates,1000,0,6956,3
QuickSort,duplicates,10000,0,48906,4
QuickSort,duplicates,100000,1,539326,3
QuickSort,duplicates,1000000,12,6401911,4
QuickSelect,random,1000,0,3012,0
QuickSelect,random,10000,0,64443,0
QuickSelect,random,100000,1,466306,0
QuickSelect,random,1000000,12,5642961,0
QuickSelect,sorted,1000,0,4844,0
QuickSelect,sorted,10000,0,63481,0
QuickSelect,sorted,100000,0,451912,0
QuickSelect,sorted,1000000,4,3991645,0
QuickSelect,duplicates,1000,0,4094,0
QuickSelect,duplicates,10000,0,23028,0
QuickSelect,duplicates,100000,0,419973,0
QuickSelect,duplicates,1000000,9,3896582,0
DeterministicSelect,random,1000,0,9623,10
DeterministicSelect,random,10000,0,96664,13
DeterministicSelect,random,100000,4,991213,16
DeterministicSelect,random,1000000,34,10304775,20
DeterministicSelect,sorted,1000,0,6994,10
DeterministicSelect,sorted,10000,0,72669,13
DeterministicSelect,sorted,100000,1,739053,16
DeterministicSelect,sorted,1000000,12,7450736,20
DeterministicSelect,duplicates,1000,0,3779,5
DeterministicSelect,duplicates,10000,0,42607,7
DeterministicSelect,duplicates,100000,1,386782,8
DeterministicSelect,duplicates,1000000,15,3717237,10
